Nome,Telefone,Email,Empresa,Cidade,Cargo,Origem,Tags,Estado,Instagram,Site,Avaliacoes GMB,Nota GMB,Observacoes
Romano Odontologia,(31) 99363-9141,,Romano Odontologia,Sete Lagoas,,Prospecção Odontológica,"Clínica Odontológica;UF MG;Grupo B",MG,@romanoodontologia,https://romanoodontologia.com.br/,25,"4,8",Referência em prótese e implantes
Dra. Luana Gonzaga,(34) 98888-8032,,Dra. Luana Gonzaga,Uberaba,,Prospecção Odontológica,"Clínica Odontológica;UF MG;Grupo B",MG,@draluanagonzaga,https://draluanagonzaga.com.br/,159,5,Código-fonte exposto no site
Clínica Nitti,(34) 3312-3957,,Clínica Nitti,Uberaba,,Prospecção Odontológica,"Clínica Odontológica;UF MG;Grupo B",MG,@implanteuberaba,https://www.clinicanitti.com.br/,66,5,"25+ anos experiência, especialista em implantes"
Be Clinic Odontologia,(34) 99769-3224,,Be Clinic Odontologia,Uberlândia,,Prospecção Odontológica,"Clínica Odontológica;UF MG;Grupo B",MG,@beclinicodontologia,https://beclinicodontologia.com.br/,292,"4,9","Tecnologia avançada, equipe grande"
OdontoPronto,(34) 99976-3224,,OdontoPronto,Uberlândia,,Prospecção Odontológica,"Clínica Odontológica;UF MG;Grupo B",MG,@odontopronto,https://odontopronto.com.br/ (erro 500),75,"4,7",Site com erro 500
Brito Odontologia,(35) 3212-3461,,Brito Odontologia,Varginha,,Prospecção Odontológica,"Clínica Odontológica;UF MG;Grupo B",MG,@britoodontologia,https://britodontologia.com.br/varginha/,50,5,20+ anos experiência
Cia Sorria Odontologia,(35) 3212-3461,,Cia Sorria Odontologia,Varginha,,Prospecção Odontológica,"Clínica Odontológica;UF MG;Grupo B",MG,@ciasorria,https://www.ciasorria.com.br/,25,5,Tratamentos gerais
Amiga Odontologia,(19) 99344-2565,,Amiga Odontologia,Americana,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo C",SP,@amigaodontologiaoficial,https://www.amigaodontologia.com.br/clinicas/americana/,436,"4,9",Usa Linktree na bio
Clínica Todoriso Americana,(19) 3475-7475,,Clínica Todoriso Americana,Americana,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo B",SP,@todorisoodonto,https://todoriso.com.br/americana/,384,"4,9",Design datado
Clínica Camp Dentes,(19) 3462-3050,,Clínica Camp Dentes,Americana,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo A",SP,@campdentes,,234,"4,8",Sem site
Maxsorriso Implantes Dentários,(16) 93618-1858,,Maxsorriso Implantes Dentários,Araraquara,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo B",SP,@maxsorriso.araraquara,https://maxsorrisoclinicas.com.br/implantes-araraquara/,782,"4,9",Especializada em implantes
Mais Odonto Prime,(19) 99714-4933,,Mais Odonto Prime,Indaiatuba,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo A",SP,@maisodontoprimee,,1084,"4,9","Volume impressionante de avaliações, sem site"
Clínica Todoriso Indaiatuba,(19) 4112-1299,,Clínica Todoriso Indaiatuba,Indaiatuba,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo B",SP,@todorisoodonto,https://todoriso.com.br/indaiatuba/,396,"4,9",Design datado
Odonto Freitas,(19) 99607-0838,,Odonto Freitas,Indaiatuba,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo A",SP,@odontofreitasindaiatuba,,178,5,"Nota máxima, sem site"
Clínica Nogueira Infinity,(19) 98765-4321,,Clínica Nogueira Infinity,Indaiatuba,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo A",SP,@clinicanogueirainfinity,,139,"4,8",Sem site
Clínica Dental Art,(11) 95783-0433,,Clínica Dental Art,Jundiaí,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo A",SP,@clinicadentalart.jundiai,,495,5,"Nota máxima, sem site"
Clínica Oral Líder,(19) 97172-0063,,Clínica Oral Líder,Limeira,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo A",SP,@clinicaorallider,,297,5,"Nota máxima, sem site"
Zenus Odonto,(19) 97234-5678,,Zenus Odonto,Limeira,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo A",SP,@zenusodonto,,174,5,"Nota máxima, sem site"
M&R Odontologia,(19) 98872-5618,,M&R Odontologia,Piracicaba,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo B",SP,@mrodontologia,https://mrodontologiapiracicaba.com.br,680,5,Site WordPress com problema técnico
Odonto Schoba,(19) 3302-0199,,Odonto Schoba,Piracicaba,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo B",SP,@odontoschoba,https://clinicaodontoschoba.com.br,601,"4,9",Especializada em implantes
HelloDent Clínica Odontológica,(19) 97825-3627,,HelloDent Clínica Odontológica,Piracicaba,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo A",SP,@hellodent.piracicaba,,230,5,"Nota máxima, sem site"
Dra. Laura Stoll Odontologia,(16) 99782-4567,,Dra. Laura Stoll Odontologia,Ribeirão Preto,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo A",SP,@dralaurastoll,,148,5,"Nota máxima, sem site"
OdontoHills Sorocaba,(15) 99145-8802,,OdontoHills Sorocaba,Sorocaba,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo B",SP,@odontohills,https://odontohills.com.br,1312,"4,9",Site com boa estrutura mas pode melhorar
Emergência Odontológica Sorocaba,(15) 98888-7777,,Emergência Odontológica Sorocaba,Sorocaba,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo A",SP,@emergenciaodonto.sorocaba,,734,5,"Volume impressionante, nota máxima, sem site"
COIS - Clínica Odontológica Integrada de Sorocaba,(15) 99133-5204,,COIS - Clínica Odontológica Integrada de Sorocaba,Sorocaba,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo B",SP,@cois_odontologia,https://cois.com.br,400,"4,9",Site institucional básico
Clínica Caroline Bianchi,(15) 98139-6791,,Clínica Caroline Bianchi,Sorocaba,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo A",SP,@clinicacarolinebianchi,,353,"4,9",Excelente clínica sem site próprio
Maxsorriso Implantes Dentários,(16) 3419-3436,,Maxsorriso Implantes Dentários,São Carlos,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo B",SP,@maxsorriso.saocarlos,https://maxsorrisoclinicas.com.br/implantes-saocarlos/,789,5,"Volume alto de avaliações, nota máxima"
Centro do Sorriso Odontologia,(17) 98214-4578,,Centro do Sorriso Odontologia,São José do Rio Preto,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo A",SP,@centrodosorriso.rp,,118,"4,9",Sem site
Gou Odonto,(17) 92345-6789,,Gou Odonto,São José do Rio Preto,,Prospecção Odontológica,"Clínica Odontológica;UF SP;Grupo A",SP,@gouodonto,,105,5,"Nota máxima, sem site"
